id;arraytype;datatype;arraysize;buildtime;inserttime;lookuptime;deletetime;memsize
1;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;1.142;0.0709;0.0807;0.1666;80024
2;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.0093;0.0023;0.0009;0.0018;80024
3;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.0116;0.0028;0.0009;0.0014;80024
4;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.0088;0.0023;0.0009;0.0018;80024
5;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.062;0.0028;0.0009;0.0014;80024
6;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.0331;0.0023;0.0009;0.0018;80024
7;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.0093;0.0023;0.0014;0.0014;80024
8;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.035;0.0028;0.0009;0.0018;80024
9;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.0336;0.0023;0.0009;0.0014;80024
10;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;10;0.0093;0.0023;0.0009;0.0014;80024
11;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.567;0.0009;0.1148;0.1614;2008256
12;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.1442;0.0004;0.0009;0.0004;2008256
13;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.0298;0.0009;0.0009;0.0004;2008256
14;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.1204;0.0014;0.0009;0.0009;2008256
15;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.0574;0.0009;0.0004;0.0004;2008256
16;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.0308;0.0009;0.0004;0.0009;2008256
17;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.028;0.0009;0.0004;0.0009;2008256
18;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.0289;0.0009;0.0004;0.0004;2008256
19;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.0322;0.0009;0.0004;0.0009;2008256
20;BenchmarkingFramework.RandomArrayGenerator;HashChaining;10;0.0298;0.0004;0.0004;0.0009;2008256
21;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;1.4762;0.0639;0.2926;0.9572;8192
22;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.007;0.0023;0.0014;0.0032;8192
23;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0098;0.0014;0.0009;0.0028;8192
24;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0051;0.0018;0.0009;0.0023;8192
25;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0065;0.0018;0.0014;0.0023;8192
26;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0046;0.0018;0.0014;0.0023;8192
27;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0046;0.0018;0.0014;0.0023;8192
28;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0056;0.0018;0.0014;0.0028;8192
29;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0102;0.0018;0.0014;0.0023;8192
30;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;10;0.0051;0.0018;0.0014;0.0023;8192
31;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0266;0.0214;0.0084;0.0107;80024
32;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0266;0.0242;0.0084;0.0107;80024
33;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0261;0.021;0.0088;0.0102;80024
34;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0256;0.0205;0.0084;0.0102;80024
35;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.048;0.021;0.0088;0.0107;80024
36;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0513;0.0247;0.0093;0.0116;80024
37;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0261;0.021;0.0084;0.0107;80024
38;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0793;0.0266;0.0107;0.0135;80024
39;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0466;0.0214;0.0088;0.0107;80024
40;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;100;0.0289;0.0224;0.0088;0.0112;80024
41;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1232;0.006;0.0042;0.0042;2008256
42;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1096;0.0065;0.0042;0.0042;2008256
43;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.174;0.0102;0.0056;0.0056;2008256
44;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1106;0.007;0.0046;0.0046;2008256
45;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1078;0.006;0.0037;0.0042;2008256
46;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1073;0.006;0.0037;0.0042;2008256
47;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1031;0.006;0.0037;0.0042;2008256
48;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1036;0.006;0.0037;0.0037;2008256
49;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1008;0.006;0.0037;0.0046;2008256
50;BenchmarkingFramework.RandomArrayGenerator;HashChaining;100;0.1036;0.006;0.0037;0.0042;2008256
51;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0298;0.021;0.0135;0.0224;8192
52;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0303;0.021;0.0135;0.0224;8192
53;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0275;0.0196;0.013;0.0214;8192
54;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0238;0.02;0.0126;0.0214;8192
55;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0247;0.0205;0.0126;0.0214;8192
56;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0294;0.0196;0.013;0.0214;8192
57;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0294;0.0196;0.013;0.021;8192
58;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.028;0.0196;0.013;0.0214;8192
59;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0289;0.02;0.013;0.021;8192
60;BenchmarkingFramework.RandomArrayGenerator;AVL Tree;100;0.0284;0.0196;0.0126;0.0214;8192
61;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.0891;0.069;0.027;0.0345;80024
62;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.0728;0.0732;0.0256;0.034;80024
63;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.062;0.0616;0.0247;0.0312;80024
64;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.0653;0.0653;0.0256;0.0322;80024
65;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.0667;0.0653;0.0256;0.0322;80024
66;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.0896;0.0905;0.0261;0.0322;80024
67;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.0863;0.0634;0.0256;0.0322;80024
68;BenchmarkingFramework.RandomArrayGenerator;Hash Open Addressing;300;0.0695;0.07;0.027;0.034;80024
